Edad,Ano ,Origen,dx
5,2022,Espana,22
6,2022,Espana,28
7,2022,Espana,21
8,2022,Espana,23
9,2022,Espana,22
10,2022,Espana,30
11,2022,Espana,17
12,2022,Espana,35
13,2022,Espana,50
14,2022,Espana,57
15,2022,Espana,52
16,2022,Espana,66
17,2022,Espana,71
18,2022,Espana,80
19,2022,Espana,91
20,2022,Espana,87
21,2022,Espana,108
22,2022,Espana,97
23,2022,Espana,94
24,2022,Espana,103
25,2022,Espana,84
26,2022,Espana,89
27,2022,Espana,100
28,2022,Espana,93
29,2022,Espana,120
30,2022,Espana,124
31,2022,Espana,134
32,2022,Espana,148
33,2022,Espana,193
34,2022,Espana,224
35,2022,Espana,193
36,2022,Espana,231
37,2022,Espana,254
38,2022,Espana,294
39,2022,Espana,336
40,2022,Espana,384
41,2022,Espana,457
42,2022,Espana,516
43,2022,Espana,583
44,2022,Espana,672
45,2022,Espana,742
46,2022,Espana,850
47,2022,Espana,892
48,2022,Espana,1004
49,2022,Espana,1114
50,2022,Espana,1279
51,2022,Espana,1484
52,2022,Espana,1607
53,2022,Espana,1815
54,2022,Espana,1970
55,2022,Espana,2216
56,2022,Espana,2464
57,2022,Espana,2753
58,2022,Espana,2873
59,2022,Espana,3125
60,2022,Espana,3421
61,2022,Espana,3630
62,2022,Espana,3869
63,2022,Espana,4177
64,2022,Espana,4494
65,2022,Espana,4692
66,2022,Espana,4670
67,2022,Espana,4869
68,2022,Espana,5028
69,2022,Espana,5672
70,2022,Espana,5734
71,2022,Espana,6055
72,2022,Espana,6368
73,2022,Espana,7339
74,2022,Espana,8031
75,2022,Espana,7854
76,2022,Espana,9003
77,2022,Espana,9537
78,2022,Espana,10353
79,2022,Espana,10634
80,2022,Espana,9710
81,2022,Espana,11630
82,2022,Espana,12184
83,2022,Espana,11028
84,2022,Espana,13760
85,2022,Espana,16615
86,2022,Espana,17897
87,2022,Espana,18768
88,2022,Espana,19855
89,2022,Espana,20362
90,2022,Espana,126391
0,2016,UE 28,56
1,2016,UE 28,5
2,2016,UE 28,3
3,2016,UE 28,3
4,2016,UE 28,4
5,2016,UE 28,2
6,2016,UE 28,2
7,2016,UE 28,2
8,2016,UE 28,4
9,2016,UE 28,2
10,2016,UE 28,8
11,2016,UE 28,4
12,2016,UE 28,5
13,2016,UE 28,2
14,2016,UE 28,3
15,2016,UE 28,4
16,2016,UE 28,6
17,2016,UE 28,4
18,2016,UE 28,5
19,2016,UE 28,15
20,2016,UE 28,16
21,2016,UE 28,20
22,2016,UE 28,7
23,2016,UE 28,16
24,2016,UE 28,11
25,2016,UE 28,20
26,2016,UE 28,16
27,2016,UE 28,14
28,2016,UE 28,18
29,2016,UE 28,17
30,2016,UE 28,22
31,2016,UE 28,19
32,2016,UE 28,18
33,2016,UE 28,28
34,2016,UE 28,18
35,2016,UE 28,33
36,2016,UE 28,35
37,2016,UE 28,33
38,2016,UE 28,43
39,2016,UE 28,51
40,2016,UE 28,60
41,2016,UE 28,57
42,2016,UE 28,54
43,2016,UE 28,65
44,2016,UE 28,72
45,2016,UE 28,73
46,2016,UE 28,98
47,2016,UE 28,99
48,2016,UE 28,116
49,2016,UE 28,137
50,2016,UE 28,120
51,2016,UE 28,132
52,2016,UE 28,141
53,2016,UE 28,117
54,2016,UE 28,126
55,2016,UE 28,113
56,2016,UE 28,147
57,2016,UE 28,122
58,2016,UE 28,144
59,2016,UE 28,154
60,2016,UE 28,137
61,2016,UE 28,142
62,2016,UE 28,169
63,2016,UE 28,182
64,2016,UE 28,197
65,2016,UE 28,180
66,2016,UE 28,216
67,2016,UE 28,228
68,2016,UE 28,249
69,2016,UE 28,294
70,2016,UE 28,271
71,2016,UE 28,281
72,2016,UE 28,287
73,2016,UE 28,279
74,2016,UE 28,279
75,2016,UE 28,269
76,2016,UE 28,291
77,2016,UE 28,310
78,2016,UE 28,275
79,2016,UE 28,265
80,2016,UE 28,245
81,2016,UE 28,265
82,2016,UE 28,239
83,2016,UE 28,235
84,2016,UE 28,232
85,2016,UE 28,267
86,2016,UE 28,249
87,2016,UE 28,208
88,2016,UE 28,197
89,2016,UE 28,203
90,2016,UE 28,1062
0,2017,UE 28,67
1,2017,UE 28,9
2,2017,UE 28,8
3,2017,UE 28,6
4,2017,UE 28,6
5,2017,UE 28,5
6,2017,UE 28,5
7,2017,UE 28,3
8,2017,UE 28,3
9,2017,UE 28,3
10,2017,UE 28,3
11,2017,UE 28,3
12,2017,UE 28,2
13,2017,UE 28,2
14,2017,UE 28,2
15,2017,UE 28,4
16,2017,UE 28,4
17,2017,UE 28,5
18,2017,UE 28,6
19,2017,UE 28,6
20,2017,UE 28,10
21,2017,UE 28,10
22,2017,UE 28,13
23,2017,UE 28,10
24,2017,UE 28,8
25,2017,UE 28,23
26,2017,UE 28,19
27,2017,UE 28,21
28,2017,UE 28,22
29,2017,UE 28,34
30,2017,UE 28,22
31,2017,UE 28,21
32,2017,UE 28,31
33,2017,UE 28,28
34,2017,UE 28,26
35,2017,UE 28,33
36,2017,UE 28,36
37,2017,UE 28,37
38,2017,UE 28,37
39,2017,UE 28,46
40,2017,UE 28,60
41,2017,UE 28,53
42,2017,UE 28,64
43,2017,UE 28,76
44,2017,UE 28,70
45,2017,UE 28,72
46,2017,UE 28,86
47,2017,UE 28,89
48,2017,UE 28,87
49,2017,UE 28,121
50,2017,UE 28,106
51,2017,UE 28,134
52,2017,UE 28,121
53,2017,UE 28,144
54,2017,UE 28,141
55,2017,UE 28,148
56,2017,UE 28,147
57,2017,UE 28,156
58,2017,UE 28,145
59,2017,UE 28,152
60,2017,UE 28,156
61,2017,UE 28,145
62,2017,UE 28,165
63,2017,UE 28,186
64,2017,UE 28,161
65,2017,UE 28,212
66,2017,UE 28,194
67,2017,UE 28,253
68,2017,UE 28,247
69,2017,UE 28,278
70,2017,UE 28,324
71,2017,UE 28,258
72,2017,UE 28,289
73,2017,UE 28,339
74,2017,UE 28,283
75,2017,UE 28,292
76,2017,UE 28,297
77,2017,UE 28,318
78,2017,UE 28,327
79,2017,UE 28,317
80,2017,UE 28,315
81,2017,UE 28,273
82,2017,UE 28,249
83,2017,UE 28,244
84,2017,UE 28,226
85,2017,UE 28,254
86,2017,UE 28,287
87,2017,UE 28,261
88,2017,UE 28,234
89,2017,UE 28,208
90,2017,UE 28,1149
0,2018,UE 28,67
1,2018,UE 28,9
2,2018,UE 28,5
3,2018,UE 28,7
4,2018,UE 28,6
5,2018,UE 28,3
6,2018,UE 28,3
7,2018,UE 28,4
8,2018,UE 28,4
9,2018,UE 28,2
10,2018,UE 28,3
11,2018,UE 28,3
12,2018,UE 28,3
13,2018,UE 28,3
14,2018,UE 28,4
15,2018,UE 28,3
16,2018,UE 28,3
17,2018,UE 28,5
18,2018,UE 28,12
19,2018,UE 28,8
20,2018,UE 28,18
21,2018,UE 28,10
22,2018,UE 28,12
23,2018,UE 28,13
24,2018,UE 28,23
25,2018,UE 28,11
26,2018,UE 28,13
27,2018,UE 28,18
28,2018,UE 28,35
29,2018,UE 28,22
30,2018,UE 28,25
31,2018,UE 28,27
32,2018,UE 28,23
33,2018,UE 28,30
34,2018,UE 28,29
35,2018,UE 28,33
36,2018,UE 28,31
37,2018,UE 28,35
38,2018,UE 28,51
39,2018,UE 28,49
40,2018,UE 28,50
41,2018,UE 28,53
42,2018,UE 28,59
43,2018,UE 28,74
44,2018,UE 28,69
45,2018,UE 28,60
46,2018,UE 28,57
47,2018,UE 28,100
48,2018,UE 28,103
49,2018,UE 28,113
50,2018,UE 28,138
51,2018,UE 28,132
52,2018,UE 28,135
53,2018,UE 28,153
54,2018,UE 28,135
55,2018,UE 28,171
56,2018,UE 28,138
57,2018,UE 28,157
58,2018,UE 28,166
59,2018,UE 28,156
60,2018,UE 28,161
61,2018,UE 28,176
62,2018,UE 28,195
63,2018,UE 28,198
64,2018,UE 28,197
65,2018,UE 28,205
66,2018,UE 28,211
67,2018,UE 28,236
68,2018,UE 28,260
69,2018,UE 28,270
